tradingview_symbol,symbol,name_en,name_th,market,industry,sector
SET:SEI,SEI,"SEI MEDICAL PUBLIC CO., LTD.",บริษัท เอสอีไอ เมดิคัล จำกัด (มหาชน),mai,Consumer Products,-
SET:SENX,SENX,SEN X PUBLIC COMPANY LIMITED,บริษัท เซ็น เอกซ์ จำกัด (มหาชน),mai,Property & Construction,-
SET:SFT,SFT,SHRINKFLEX (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ชริ้งเฟล็กซ์ (ประเทศไทย) จำกัด (มหาชน),mai,Industrial,-
SET:SGF,SGF,SGF CAPITAL PUBLIC COMPANY LIMITED,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),mai,Financials,-
SET:SICT,SICT,SILICON CRAFT TECHNOLOGY PUBLIC COMPANY LIMITED,บริษัท ซิลิคอน คราฟท์ เทคโนโลยี จำกัด (มหาชน),mai,Technology,-
SET:SIMAT,SIMAT,SIMAT TECHNOLOGIES PUBLIC COMPANY LIMITED,บริษัท ไซแมท เทคโนโลยี จำกัด (มหาชน),mai,Technology,-
SET:SK,SK,SIRAKORN PUBLIC COMPANY LIMITED,บริษัท ศิรกร จำกัด (มหาชน),mai,Property & Construction,-
SET:SKIN,SKIN,SKIN LABORATORY PUBLIC COMPANY LIMITED,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),mai,Consumer Products,-
SET:SMART,SMART,SMART CONCRETE PUBLIC COMPANY LIMITED,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน),mai,Property & Construction,-
SET:SMD100,SMD100,SMD RISE PUBLIC COMPANY LIMITED,บริษัท เอสเอ็มดี ไรส์ จำกัด (มหาชน),mai,Consumer Products,-
SET:SONIC,SONIC,SONIC INTERFREIGHT PUBLIC COMPANY LIMITED,บริษัท โซนิค อินเตอร์เฟรท จำกัด (มหาชน),mai,Services,-
SET:SPTX,SPTX,SPT X PUBLIC COMPANY LIMITED,บริษัท เอสพีที เอกซ์ จำกัด (มหาชน),mai,Services,-
SET:SPVI,SPVI,S P V I PUBLIC COMPANY LIMITED,บริษัท เอส พี วี ไอ จำกัด (มหาชน),mai,Technology,-
SET:SR,SR,SIAMRAJ PUBLIC COMPANY LIMITED,บริษัท สยามราช จำกัด (มหาชน),mai,Resources,-
SET:SRS,SRS,SIRISOFT PUBLIC COMPANY LIMITED,บริษัท สิริซอฟต์ จำกัด (มหาชน),mai,Technology,-
SET:STC,STC,STC CONCRETE PRODUCT PUBLIC COMPANY LIMITED,บริษัท เอสทีซี คอนกรีตโปรดัคท์ จำกัด (มหาชน),mai,Property & Construction,-
SET:STOWER,STOWER,SKY TOWER PUBLIC COMPANY LIMITED,บริษัท สกาย ทาวเวอร์ จำกัด (มหาชน),mai,Resources,-
SET:STP,STP,SAHATHAI PRINTING & PACKAGING PUBLIC COMPANY LIMITED,บริษัท สหไทยการพิมพ์และบรรจุภัณฑ์ จำกัด (มหาชน),mai,Industrial,-
SET:STX,STX,Stone One Public Company Limited,บริษัท สโตนวัน จำกัด (มหาชน),mai,Property & Construction,-
SET:SVR,SVR,SIVAROM REAL ESTATE PUBLIC COMPANY LIMITED,บริษัท สิวารมณ์ เรียลเอสเตท จำกัด (มหาชน),mai,Property & Construction,-
SET:SWC,SWC,SHERWOOD CORPORATION (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เชอร์วู้ด คอร์ปอเรชั่น (ประเทศไทย) จำกัด (มหาชน),mai,Industrial,-
SET:TACC,TACC,T.A.C. CONSUMER PUBLIC COMPANY LIMITED,บริษัท ที.เอ.ซี. คอนซูเมอร์ จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:TAKUNI,TAKUNI,TAKUNI GROUP PUBLIC COMPANY LIMITED,บริษัท ทาคูนิ กรุ๊ป จำกัด (มหาชน),mai,Resources,-
SET:TAPAC,TAPAC,TAPACO PUBLIC COMPANY LIMITED,บริษัท ทาพาโก้ จำกัด (มหาชน),mai,Property & Construction,-
SET:TATG,TATG,THAI AUTO TOOLS AND DIE PUBLIC COMPANY LIMITED,บริษัท ไทย ออโต ทูลส์ แอนด์ ดาย จำกัด (มหาชน),mai,Industrial,-
SET:TBN,TBN,TBN Corporation Public Company Limited,บริษัท ทีบีเอ็น คอร์ปอเรชั่น จำกัด (มหาชน),mai,Technology,-
SET:TERA,TERA,Terabyte Plus Public Company Limited,บริษัท เทอร์ราไบท์ พลัส จำกัด (มหาชน),mai,Technology,-
SET:THANA,THANA,THANASIRI GROUP PUBLIC COMPANY LIMITED,บริษัท ธนาสิริ กรุ๊ป จำกัด (มหาชน),mai,Property & Construction,-
SET:THMUI,THMUI,THAI MUI CORPORATION PUBLIC COMPANY LIMITED,บริษัท ไทยมุ้ย คอร์ปอเรชั่น จำกัด (มหาชน),mai,Services,-
SET:TIGER,TIGER,THAI ENGER HOLDING PUBLIC COMPANY LIMITED,บริษัท ไทย อิงเกอร์ โฮลดิ้ง จำกัด (มหาชน),mai,Property & Construction,-
SET:TM,TM,TECHNO MEDICAL PUBLIC COMPANY LIMITED,บริษัท เทคโนเมดิคัล จำกัด (มหาชน),mai,Consumer Products,-
SET:TMC,TMC,T.M.C. INDUSTRIAL PUBLIC COMPANY LIMITED,บริษัท ที.เอ็ม.ซี. อุตสาหกรรม จำกัด (มหาชน),mai,Industrial,-
SET:TMI,TMI,TEERA-MONGKOL INDUSTRY PUBLIC COMPANY LIMITED,บริษัท ธีระมงคล อุตสาหกรรม จำกัด (มหาชน),mai,Industrial,-
SET:TMILL,TMILL,T S FLOUR MILL PUBLIC COMPANY LIMITED,บริษัท ที เอส ฟลาวมิลล์ จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:TMW,TMW,THAI MITSUWA PUBLIC COMPANY LIMITED,บริษัท ไทยมิตซูวา จำกัด (มหาชน),mai,Industrial,-
SET:TNDT,TNDT,THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED,บริษัท ไทย เอ็น ดี ที จำกัด (มหาชน),mai,Services,-
SET:TNH,TNH,THAI NAKARIN HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลไทยนครินทร์ จำกัด (มหาชน),mai,Services,-
SET:TNP,TNP,THANAPIRIYA PUBLIC COMPANY LIMITED,บริษัท ธนพิริยะ จำกัด (มหาชน),mai,Services,-
SET:TPCH,TPCH,TPC POWER HOLDING PUBLIC COMPANY LIMITED,บริษัท ทีพีซี เพาเวอร์โฮลดิ้ง จำกัด (มหาชน),mai,Resources,-
SET:TPL,TPL,Thai Parcels Public Company Limited,บริษัท ไทยพาร์เซิล จำกัด (มหาชน),mai,Services,-
SET:TPLAS,TPLAS,THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY LIMITED,บริษัท ไทยอุตสาหกรรมพลาสติก (1994) จำกัด (มหาชน),mai,Industrial,-
SET:TPS,TPS,THE PRACTICAL SOLUTION PUBLIC COMPANY LIMITED,บริษัท เดอะแพรคทิเคิลโซลูชั่น จำกัด (มหาชน),mai,Technology,-
SET:TQR,TQR,TQR PUBLIC COMPANY LIMITED,บริษัท ที คิว อาร์ จำกัด (มหาชน),mai,Financials,-
SET:TRP,TRP,Aesthetic Connect Public Company Limited,บริษัท เอสเตติก คอนเนค จำกัด (มหาชน),mai,Services,-
SET:TRT,TRT,TIRATHAI PUBLIC COMPANY LIMITED,บริษัท ถิรไทย จำกัด (มหาชน),mai,Industrial,-
SET:TRV,TRV,T.R.V. RUBBER PRODUCTS PUBLIC COMPANY LIMITED,บริษัท ที.อาร์.วี. รับเบอร์ โปรดักส์ จำกัด (มหาชน),mai,Industrial,-
SET:TURTLE,TURTLE,SUPER TURTLE PUBLIC COMPANY LIMITED,บริษัท ซุปเปอร์ เทอร์เทิล จำกัด (มหาชน),mai,Services,-
SET:TVDH,TVDH,TVD HOLDINGS PUBLIC COMPANY LIMITED,บริษัท ทีวีดี โฮลดิ้งส์ จำกัด (มหาชน),mai,Services,-
SET:TVT,TVT,TV THUNDER PUBLIC COMPANY LIMITED,บริษัท ทีวี ธันเดอร์ จำกัด (มหาชน),mai,Services,-
SET:UBA,UBA,Utility Business Alliance Public Company Limited,บริษัท ยูทิลิตี้ บิสิเนส อัลลายแอนซ์ จำกัด (มหาชน),mai,Services,-
SET:UBIS,UBIS,UBIS (ASIA) PUBLIC COMPANY LIMITED,บริษัท ยูบิส (เอเชีย) จำกัด (มหาชน),mai,Industrial,-
SET:UEC,UEC,UNIMIT ENGINEERING PUBLIC COMPANY LIMITED,บริษัท ยูนิมิต เอนจิเนียริ่ง จำกัด (มหาชน),mai,Industrial,-
SET:UKEM,UKEM,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED,บริษัท ยูเนี่ยน ปิโตรเคมีคอล จำกัด (มหาชน),mai,Industrial,-
SET:UMS,UMS,UNIQUE MINING SERVICES PUBLIC COMPANY LIMITED,บริษัท ยูนิค ไมนิ่ง เซอร์วิสเซส จำกัด (มหาชน),mai,Resources,-
SET:UREKA,UREKA,EUREKA DESIGN PUBLIC COMPANY LIMITED,บริษัท ยูเรกา ดีไซน์ จำกัด (มหาชน),mai,Industrial,-
SET:VCOM,VCOM,VINTCOM TECHNOLOGY PUBLIC COMPANY LIMITED,บริษัท วินท์คอม เทคโนโลยี จำกัด (มหาชน),mai,Technology,-
SET:VIBE,VIBE,VIBE SYNERGY GROUP PUBLIC COMPANY LIMITED,บริษัท ไวบ์ ซินเนอร์จี้ กรุ๊ป จำกัด (มหาชน),mai,Services,-
SET:VL,VL,V.L. ENTERPRISE PUBLIC COMPANY LIMITED,บริษัท วี.แอล.เอ็นเตอร์ไพรส์ จำกัด (มหาชน),mai,Services,-
SET:VS,VS,VISERVE ENTERPRISE PUBLIC COMPANY LIMITED,บริษัท วีเซิร์ฟ เอ็นเตอร์ไพรส์ จำกัด (มหาชน),mai,Services,-
SET:WARRIX,WARRIX,Warrix Sport Public Company Limited,บริษัท วอริกซ์ สปอร์ต จำกัด (มหาชน),mai,Consumer Products,-
SET:WASH,WASH,Laundry You Public Company Limited,บริษัท ลอนดรี้ ยู จำกัด (มหาชน),mai,Services,-
SET:WELL,WELL,WELL MANAGEMENT CORPORATION PUBLIC COMPANY LIMITED,บริษัท เวล แมเนจเม้นท์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,Property & Construction,-
SET:WINMED,WINMED,WINNERGY MEDICAL PUBLIC COMPANY LIMITED,บริษัท วินเนอร์ยี่ เมดิคอล จำกัด (มหาชน),mai,Consumer Products,-
SET:WINNER,WINNER,WINNER GROUP ENTERPRISE PUBLIC COMPANY LIMITED,บริษัท วินเนอร์กรุ๊ป เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:XO,XO,EXOTIC FOOD PUBLIC COMPANY LIMITED,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:YGG,YGG,YGGDRAZIL GROUP PUBLIC COMPANY LIMITED,บริษัท อิ๊กดราซิล กรุ๊ป จำกัด (มหาชน),mai,Services,-
SET:YONG,YONG,Yong Concrete Public Company Limited,บริษัท ยงคอนกรีต จำกัด (มหาชน),mai,Property & Construction,-
SET:YUASA,YUASA,YUASA BATTERY (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ยัวซ่าแบตเตอรี่ ประเทศไทย จำกัด (มหาชน),mai,Industrial,-
SET:ZIGA,ZIGA,ZIGA INNOVATION PUBLIC COMPANY LIMITED,บริษัท ซิก้า อินโนเวชั่น จำกัด (มหาชน),mai,Industrial,-
