tradingview_symbol,symbol,name_en,name_th,market,industry,sector
SET:CHO,CHO,CHO THAVEE PUBLIC COMPANY LIMITED,บริษัท ช ทวี จำกัด (มหาชน),mai,Industrial,-
SET:CHOW,CHOW,CHOW BRIGHT VENTURES HOLDINGS PUBLIC COMPANY LIMITED,บริษัท เชาว์ ไบรท์ เวนเจอร์ส โฮลดิ้งส์ จำกัด (มหาชน),mai,Industrial,-
SET:CIG,CIG,C.I.GROUP PUBLIC COMPANY LIMITED,บริษัท ซี.ไอ.กรุ๊ป จำกัด (มหาชน),mai,Industrial,-
SET:CMO,CMO,CMO PUBLIC COMPANY LIMITED,บริษัท ซีเอ็มโอ จำกัด (มหาชน),mai,Services,-
SET:COLOR,COLOR,SALEE COLOUR PUBLIC COMPANY LIMITED,บริษัท สาลี่ คัลเล่อร์ จำกัด (มหาชน),mai,Industrial,-
SET:COMAN,COMAN,COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED,บริษัท โคแมนชี่ อินเตอร์เนชั่นแนล จำกัด (มหาชน),mai,Technology,-
SET:CPANEL,CPANEL,CPANEL PUBLIC COMPANY LIMITED,บริษัท ซีแพนเนล จำกัด (มหาชน),mai,Property & Construction,-
SET:CPR,CPR,CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED,บริษัท ซีพีอาร์ โกมุ อินดัสเตรียล จำกัด (มหาชน),mai,Industrial,-
SET:CRD,CRD,CHIANGMAI RIMDOI PUBLIC COMPANY LIMITED,บริษัท เชียงใหม่ริมดอย จำกัด (มหาชน),mai,Property & Construction,-
SET:D,D,DENTAL CORPORATION PUBLIC COMPANY LIMITED,บริษัท เดนทัล คอร์ปอเรชั่น จำกัด (มหาชน),mai,Services,-
SET:DEXON,DEXON,DEXON Technology Public Company Limited,บริษัท เด็กซ์ซอน เทคโนโลยี จำกัด (มหาชน),mai,Services,-
SET:DHOUSE,DHOUSE,DHOUSE PATTANA PUBLIC COMPANY LIMITED,บริษัท ดีเฮ้าส์พัฒนา จำกัด (มหาชน),mai,Property & Construction,-
SET:DIMET,DIMET,DIMET (SIAM) PUBLIC COMPANY LIMITED,บริษัท ไดเมท (สยาม) จำกัด (มหาชน),mai,Property & Construction,-
SET:DOD,DOD,DOD BIOTECH PUBLIC COMPANY LIMITED,บริษัท ดีโอดี ไบโอเทค จำกัด (มหาชน),mai,Consumer Products,-
SET:DPAINT,DPAINT,DELTA PAINT PUBLIC COMPANY LIMITED,บริษัท สีเดลต้า จำกัด (มหาชน),mai,Property & Construction,-
SET:ECF,ECF,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),mai,Consumer Products,-
SET:EFORL,EFORL,E FOR L AIM PUBLIC COMPANY LIMITED,บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),mai,Consumer Products,-
SET:EMPIRE,EMPIRE,ORIGIN GLOBAL EMPIRE PUBLIC COMPANY LIMITED,บริษัท ออริจิ้น โกลบอล เอมไพร์ จำกัด (มหาชน),mai,Property & Construction,-
SET:ETE,ETE,EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,Services,-
SET:EURO,EURO,Euro Creations Public Company Limited,บริษัท ยูโร ครีเอชั่นส์ จำกัด (มหาชน),mai,Consumer Products,-
SET:FLOYD,FLOYD,FLOYD PUBLIC COMPANY LIMITED,บริษัท ฟลอยด์ จำกัด (มหาชน),mai,Property & Construction,-
SET:FPI,FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),mai,Industrial,-
SET:FSMART,FSMART,FORTH SMART SERVICE PUBLIC COMPANY LIMITED,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),mai,Services,-
SET:FVC,FVC,FILTER VISION PUBLIC COMPANY LIMITED,บริษัท ฟิลเตอร์ วิชั่น จำกัด (มหาชน),mai,Services,-
SET:GCAP,GCAP,G CAPITAL PUBLIC COMPANY LIMITED,บริษัท จี แคปปิตอล จำกัด (มหาชน),mai,Financials,-
SET:GFC,GFC,Genesis Fertility Center Public Company Limited,บริษัท เจเนซีส เฟอร์ทิลีตี เซ็นเตอร์ จำกัด (มหาชน),mai,Services,-
SET:GLORY,GLORY,GLORY FOREVER PUBLIC COMPANY LIMITED,บริษัท รุ่งเรืองตลอดไป จำกัด (มหาชน),mai,Services,-
SET:GTB,GTB,GETABEC PUBLIC COMPANY LIMITED,บริษัท เจตาแบค จำกัด (มหาชน),mai,Industrial,-
SET:GTV,GTV,GREEN TECH VENTURES PUBLIC COMPANY LIMITED,บริษัท กรีนเทค เวนเจอร์ส จำกัด (มหาชน),mai,Resources,-
SET:HANN,HANN,MUKDAHAN INTERNATIONAL HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลมุกดาหารอินเตอร์เนชั่นแนล จำกัด (มหาชน),mai,Services,-
SET:HARN,HARN,HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED,บริษัท หาญ เอ็นจิเนียริ่ง โซลูชั่นส์ จำกัด (มหาชน),mai,Industrial,-
SET:HL,HL,HEALTHLEAD PUBLIC COMPANY LIMITED,บริษัท เฮลท์ลีด จำกัด (มหาชน),mai,Services,-
SET:HPT,HPT,HOME POTTERY PUBLIC COMPANY LIMITED,บริษัท โฮม พอตเทอรี่ จำกัด (มหาชน),mai,Consumer Products,-
SET:HYDRO,HYDRO,HYDROTEK PUBLIC COMPANY LIMITED,บริษัท ไฮโดรเท็ค จำกัด (มหาชน),mai,Property & Construction,-
SET:I2,I2,I2 Enterprise Public Company Limited,บริษัท ไอ ทู เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),mai,Technology,-
SET:IDG,IDG,INDIGY PUBLIC COMPANY LIMITED,บริษัท อินดิจี จำกัด (มหาชน),mai,Technology,-
SET:IIG,IIG,I&I GROUP PUBLIC COMPANY LIMITED,บริษัท ไอแอนด์ไอ กรุ๊ป จำกัด (มหาชน),mai,Technology,-
SET:IMH,IMH,INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลอินเตอร์เมดิคัล แคร์ แอนด์ แล็บ จำกัด (มหาชน),mai,Services,-
